phase,lag,mean,p_value,ci_low,ci_high,n
1,0,0.31412527464244155,0.0,0.1853407687884089,0.44579639007736854,3975
1,1,0.2797601826464365,0.0,0.15197187316939725,0.4133799390320354,3875
1,2,0.2272888362494338,0.0004,0.09470733458996206,0.35795710771576933,3775
1,3,0.21160263285988995,0.002,0.07217326249907469,0.35026617912500024,3725
1,4,0.2869884106277143,0.0,0.15289432843327688,0.4223317740540084,3700
1,5,0.25377865280291584,0.0,0.12076305102700087,0.38613619428491963,3700
1,6,0.08458481397699459,0.2202,-0.047784827446673166,0.21756902847228315,3700
1,7,0.026476191602070983,0.6824,-0.10081701461058011,0.15806484839541138,3700
1,8,-0.04748055328395596,0.4948,-0.18518074740363097,0.09091529060325369,3700
1,9,-0.0801741118696141,0.2398,-0.2193411982278693,0.05624777081030813,3675
1,10,0.035868978126194315,0.6082,-0.09935777382848604,0.17579912432814745,3625
1,11,0.01724338990872918,0.8012,-0.12193088866767514,0.15569198920696903,3625
1,12,0.01779962493550607,0.801,-0.11810955292870384,0.1538648955044871,3600
1,13,-0.016317951832976702,0.8136,-0.14850625310303794,0.11764382391913834,3575
1,14,-0.08401967429864833,0.2296,-0.21276260651801565,0.04536515376644552,3500
1,15,-0.12815526039688455,0.0806,-0.2560357468997206,0.001616693597452103,3400
1,16,-0.0715731900584297,0.321,-0.20429210061720113,0.06544614276846432,3325
1,17,-0.019375034492215077,0.8006,-0.15442778321054862,0.11806038239525928,3275
1,18,0.0783201412177332,0.2866,-0.06356026666815602,0.22454344774064328,3225
1,19,0.025156477746126754,0.7452,-0.11432180392334947,0.16979144835424156,3150
1,20,-0.05436637175772148,0.4642,-0.20064640269707085,0.09019745003024965,3100
1,21,0.0013189137328141092,0.986,-0.14774295222373404,0.14917176781326238,3050
1,22,0.1353720063764898,0.0842,-0.013087550469961788,0.2870168009713596,3025
1,23,0.2409394518159846,0.0022,0.0949998790031166,0.3851912291235571,3025
1,24,0.2202411174092002,0.0042,0.08216006742721961,0.36003564571378494,3000
1,25,0.11188942179080773,0.15,-0.03149513876959551,0.2556761567871753,2975
1,26,0.011389621611426157,0.8928,-0.13270547637368144,0.15908646648108538,2950
1,27,-0.07620741441222541,0.3254,-0.22045857394225613,0.06849816055557491,2925
