phase,lag,mean,p_value,ci_low,ci_high,n
1,0,-0.023341442472612103,0.5116,-0.07936671927332357,0.03378672242945374,27925
1,1,0.018897617621790593,0.598,-0.03981895177799374,0.07569835543450085,27925
1,2,0.03449613738558731,0.3268,-0.02193625081359293,0.09183008742344334,27925
1,3,0.0646070001542894,0.0536,0.006348000798764997,0.12310357536948184,27925
1,4,0.12945987222628128,0.0,0.07246988374433164,0.18756456886060702,27925
1,5,0.1592373434244849,0.0,0.10002294707691618,0.2206724056593831,27925
1,6,0.1241200795658035,0.0002,0.06556570570620768,0.18184571271873673,27925
1,7,0.12333001155042779,0.0002,0.06357976084191821,0.1821628290949845,27925
1,8,0.15920064181306165,0.0,0.09955256368528072,0.21650259045734255,27925
1,9,0.13535185070229178,0.0,0.07578601053363972,0.1944106276085664,27925
1,10,0.09053723723583532,0.0042,0.030294667754070866,0.14880036883892406,27925
1,11,0.048559769413937616,0.16,-0.010205309898254777,0.10931925623490721,27925
1,12,0.06492429390193788,0.0606,0.0065373059178012284,0.12493970976905744,27925
1,13,0.055083560489366065,0.106,-0.003292481781593271,0.11278566187715768,27925
1,14,0.06023936576653397,0.0722,0.0015461281604100539,0.1189338270353061,27925
1,15,0.08299724644377046,0.0124,0.02515284070976547,0.1420892327417966,27925
1,16,0.06890912134891494,0.0428,0.00953525948690228,0.12919937084827038,27925
1,17,0.06812227550971747,0.0448,0.009637818355183451,0.1269469085248441,27925
1,18,0.07785286559339635,0.0174,0.01814579370841906,0.1355050725137343,27925
1,19,0.08086655173788694,0.0138,0.021456941657858813,0.14047450178707552,27925
1,20,0.025063677589100667,0.4736,-0.03244054018224182,0.08421928704678547,27925
1,21,-0.02098288459305582,0.546,-0.0802891474618387,0.03741812516088102,27925
1,22,-0.09088410911403215,0.0044,-0.14827765275344948,-0.03309410587598189,27925
1,23,-0.11002858484069053,0.0004,-0.1675453809577371,-0.05173931173574975,27925
1,24,-0.07917852098979024,0.0196,-0.1384597637113339,-0.019101234246190542,27925
1,25,-0.06586360679261581,0.0514,-0.1264848661255563,-0.005710972801124773,27925
2,0,-0.05655887233946613,0.098,-0.11623106557402516,0.0017142286779421158,26725
2,1,-0.05678307300751472,0.0996,-0.11464462102161965,0.003704298118532542,26725
2,2,-0.060272065565685824,0.084,-0.11978335330612797,-0.0019931946647912435,26725
2,3,-0.040256594551897444,0.258,-0.0979182545831802,0.019469517723281805,26725
2,4,-0.05364518375470653,0.121,-0.11082868548190693,0.006299764946584372,26725
2,5,-0.07921415671323717,0.018,-0.13651883331880676,-0.019298764022240757,26725
2,6,-0.06163120645759838,0.0774,-0.11776935487144802,-0.005677711293340053,26725
